Date,"North Eastern Railway War Memorial","Benedict Arnold's expedition to Quebec","Steve Biko","Si Ronda","Lost operas by Claudio Monteverdi","Eve (2003 TV series)","Gumbo","Development of Grand Theft Auto V","Morchella rufobrunnea"
2018-05-11,8,39,1128,6,12,134,1035,270,32
2018-05-12,3,43,908,3,8,103,1275,276,25
2018-05-13,9,54,1263,7,13,64,1213,334,27
2018-05-14,6,41,1791,8,15,55,1072,304,37
2018-05-15,8,64,1550,5,10,55,1059,287,30
2018-05-16,16,62,1553,8,17,58,1191,282,23
2018-05-17,9,58,1580,9,10,73,2015,285,26
2018-05-18,9,52,1055,13,11,67,1107,250,20
2018-05-19,8,30,782,10,15,59,1086,297,15
2018-05-20,8,45,1106,5,13,55,1338,284,31
2018-05-21,12,66,1343,11,13,98,1201,291,28
2018-05-22,9,47,1302,10,10,64,1162,268,18
2018-05-23,15,51,1166,14,21,63,1080,288,23
2018-05-24,12,36,1376,9,18,63,1028,278,38
2018-05-25,3,26,919,5,11,57,1016,252,6
2018-05-26,7,39,746,7,5,61,1060,249,17
2018-05-27,6,26,1000,5,7,54,1240,311,17
2018-05-28,4,34,1077,6,12,59,1127,326,19
2018-05-29,6,34,996,6,8,44,1024,321,18
2018-05-30,9,49,985,12,22,67,1131,237,12
2018-05-31,7,38,1002,11,14,71,1030,263,9
2018-06-01,8,38,877,5,16,67,1684,265,17
2018-06-02,5,38,695,5,18,51,1179,317,16
2018-06-03,2,43,819,6,17,59,1177,273,9
2018-06-04,10,38,1015,8,6,62,1263,226,15
2018-06-05,4,36,1033,9,11,61,1150,245,6
2018-06-06,7,47,916,7,14,44,1138,221,12
2018-06-07,11,42,1108,11,11,53,1014,199,17
2018-06-08,13,33,843,10,10,50,964,213,13
2018-06-09,3,36,858,5,6,51,1057,298,14
2018-06-10,5,42,890,4,12,58,1187,319,10
2018-06-11,4,51,1006,7,6,46,1016,334,5
2018-06-12,6,58,970,8,8,46,1212,308,16
2018-06-13,6,40,907,9,16,53,1312,270,14
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,9,50,711,15,19,46,1050,213,16
2018-06-16,2,37,777,7,8,33,923,257,6
2018-06-17,9,35,1077,7,17,64,1134,255,11
