Date,"Yugoslav torpedo boat T3","Palsgraf v. Long Island Railroad Co.","The Fade Out","Operation Bernhard","Lead","W. E. B. Du Bois","Nikolai Rimsky-Korsakov","Pallas's leaf warbler","Meteorological history of Hurricane Ivan"
2018-04-17,12,297,47,136,3144,3031,550,19,25
2018-04-18,2,302,33,110,3010,3017,618,13,24
2018-04-19,4,285,31,132,2929,3005,644,9,23
2018-04-20,9,175,29,111,2631,2365,503,6,19
2018-04-21,12,112,28,117,3365,1622,478,6,9
2018-04-22,12,123,38,154,2246,1936,472,24,20
2018-04-23,7,188,36,138,2923,3024,577,14,15
2018-04-24,5,206,38,140,3086,2970,588,26,21
2018-04-25,17,190,36,169,3119,3158,629,13,17
2018-04-26,13,201,43,142,2931,3013,553,16,17
2018-04-27,8,116,43,123,2545,2511,488,9,13
2018-04-28,9,90,46,205,1772,1515,443,13,10
2018-04-29,10,135,33,238,1996,1885,514,12,15
2018-04-30,3,232,40,131,2689,3488,611,9,15
2018-05-01,7,230,29,124,2711,3458,615,15,21
2018-05-02,5,227,36,139,2926,3255,539,7,21
2018-05-03,9,194,43,111,2928,3240,598,14,30
2018-05-04,5,129,32,142,2483,2857,504,4,23
2018-05-05,3,110,57,149,1875,1704,475,13,15
2018-05-06,9,116,34,161,2062,2085,508,8,11
2018-05-07,6,178,54,143,2928,3281,531,16,18
2018-05-08,5,203,35,180,4437,3053,597,13,17
2018-05-09,10,201,30,146,3034,3162,572,14,18
2018-05-10,10,215,49,131,2821,3332,529,10,14
2018-05-11,10,132,49,118,2629,3523,534,9,20
2018-05-12,4,73,50,133,2006,1581,461,5,12
2018-05-13,11,94,28,151,1950,1629,567,15,22
2018-05-14,8,165,45,195,2830,2556,514,13,34
2018-05-15,13,154,36,144,3108,2544,533,8,21
2018-05-16,5,138,44,136,3138,2446,594,11,25
2018-05-17,9,126,28,149,2985,2505,603,15,14
2018-05-18,9,133,42,121,2651,2195,468,13,22
2018-05-19,10,118,40,109,1938,1276,417,13,21
2018-05-20,10,112,43,132,1953,1683,470,15,17
2018-05-21,9,189,60,154,2891,2383,519,13,19
2018-05-22,5,218,69,138,2859,2419,545,22,16
2018-05-23,12,190,52,154,2687,2344,534,25,21
2018-05-24,8,195,45,151,2709,2192,993,14,24
2018-05-25,3,161,33,142,3672,1938,485,12,22
2018-05-26,8,135,45,127,1744,1310,430,8,17
2018-05-27,2,154,37,143,2006,1515,449,7,32
2018-05-28,7,151,41,153,2286,1546,468,19,45
2018-05-29,5,152,33,139,2667,2166,550,8,24
2018-05-30,8,154,45,132,2596,2164,611,11,28
2018-05-31,10,143,37,132,2651,1964,499,10,18
2018-06-01,12,125,37,121,2237,1551,460,7,13
2018-06-02,10,77,48,123,1864,1314,463,8,15
2018-06-03,3,124,48,141,2248,1539,474,12,19
2018-06-04,6,132,44,192,2629,2223,555,10,10
2018-06-05,5,136,51,245,2535,2132,589,15,15
2018-06-06,9,148,50,157,2647,2155,644,15,17
2018-06-07,14,145,40,147,2730,1798,569,18,9
2018-06-08,11,166,44,182,3709,1499,515,19,24
2018-06-09,8,63,59,145,1838,1191,538,11,17
2018-06-10,8,101,25,136,1955,1536,559,13,7
2018-06-11,7,168,33,164,2601,2394,569,8,10
2018-06-12,8,126,30,123,2473,1704,591,12,15
2018-06-13,9,127,43,152,2506,1798,572,11,14
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,15,106,35,90,2039,1568,567,9,20
2018-06-16,10,90,33,119,1612,1273,480,13,6
2018-06-17,13,96,41,105,1690,1251,735,8,20
