Date,"Subtropical Storm Andrea (2007)","White-rumped swallow","Dr. Jekyll and Mr. Hyde (1887 play)","John Sherman","Belgium national football team","Kuiper belt","Manuel Marques de Sousa, Count of Porto Alegre","John Gielgud","The Magazine of Fantasy"
2018-04-13,10,6,61,102,2161,1169,10,1042,0
2018-04-14,22,19,42,102,3137,877,19,1779,0
2018-04-15,17,28,25,117,2872,964,18,1307,0
2018-04-16,11,5,45,115,2708,1208,5,942,0
2018-04-17,20,26,31,139,2839,1372,14,796,1
2018-04-18,8,14,37,107,2584,1245,7,696,0
2018-04-19,13,12,32,108,2518,1170,11,684,0
2018-04-20,8,15,40,92,2692,1060,11,651,1
2018-04-21,6,4,19,89,2654,866,5,738,0
2018-04-22,9,8,42,98,3011,933,12,787,0
2018-04-23,13,15,37,133,3632,1302,5,732,0
2018-04-24,12,12,38,130,4190,1383,9,587,1
2018-04-25,15,13,43,153,3507,1410,11,669,0
2018-04-26,13,8,35,149,2839,1065,9,585,0
2018-04-27,10,6,38,115,2254,1087,6,624,0
2018-04-28,20,10,31,84,2257,829,13,714,0
2018-04-29,17,13,18,97,2843,837,9,682,0
2018-04-30,14,9,36,114,2711,1284,9,736,0
2018-05-01,13,14,35,135,2798,1247,6,804,0
2018-05-02,10,14,31,112,3493,1074,7,600,0
2018-05-03,19,17,45,105,3471,1172,11,701,0
2018-05-04,12,13,29,119,2844,1098,3,656,1
2018-05-05,19,13,36,96,3003,786,17,653,1
2018-05-06,7,13,30,86,3968,840,10,691,0
2018-05-07,11,21,53,132,3322,1273,8,668,0
2018-05-08,24,12,38,101,3446,1341,8,559,0
2018-05-09,18,8,43,99,2924,1571,8,634,0
2018-05-10,27,23,32,105,3012,1656,8,614,0
2018-05-11,22,12,29,114,2993,1325,11,602,0
2018-05-12,18,12,31,84,2952,979,10,920,0
2018-05-13,16,14,36,103,3464,1091,12,899,0
2018-05-14,23,19,37,129,4584,1419,11,735,0
2018-05-15,25,17,44,101,5657,1186,12,618,0
2018-05-16,16,20,53,92,6941,1350,7,604,1
2018-05-17,20,14,32,105,6557,1428,9,631,2
2018-05-18,14,20,39,84,7028,1520,8,621,0
2018-05-19,20,14,28,64,7449,1095,10,628,1
2018-05-20,11,23,29,81,5758,1129,5,792,0
2018-05-21,18,23,46,168,20102,1839,15,1010,1
2018-05-22,16,17,36,103,10202,1742,15,679,1
2018-05-23,29,24,41,96,7105,1413,19,712,0
2018-05-24,27,12,51,108,5863,1337,10,615,0
2018-05-25,139,12,26,104,5248,1160,7,641,0
2018-05-26,137,14,21,70,6168,887,5,779,0
2018-05-27,165,14,29,87,5900,1004,9,840,0
2018-05-28,466,16,36,128,6868,1236,9,984,0
2018-05-29,234,21,39,105,7240,1196,9,772,0
2018-05-30,142,26,46,110,7287,1292,13,721,0
2018-05-31,97,9,34,98,8069,1447,11,623,0
2018-06-01,73,10,21,80,8970,2237,11,600,0
2018-06-02,49,19,25,94,13431,1192,17,1444,1
2018-06-03,30,11,32,95,10851,1159,8,1046,1
2018-06-04,35,14,41,102,15143,1434,13,877,0
2018-06-05,28,19,27,87,10617,1197,11,789,0
2018-06-06,28,19,41,101,14974,1486,11,634,0
2018-06-07,34,30,29,89,13092,1418,12,634,0
2018-06-08,36,16,36,102,9543,1256,13,623,0
2018-06-09,22,15,21,69,8328,1068,13,675,0
2018-06-10,24,19,34,80,9195,938,11,855,1
2018-06-11,26,9,40,89,18004,1129,8,762,0
2018-06-12,26,12,26,102,18578,1016,13,688,1
2018-06-13,24,19,29,102,17547,1084,16,616,0
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,16,16,34,84,15420,834,15,572,0
2018-06-16,17,13,23,73,14053,762,8,730,
2018-06-17,20,11,30,79,19217,849,15,789,
